AGE_DIFFERENCE	Q23	PP2_RESPONDENT_YRSED	PARTNER_YRSED	RESPONDENT_RELIGION_AT_16	PARTNER_RELIGION_AT_16	PP2_PPINCIMP	success
4	3	13	14	11	13	1	-1
5	2	13	13	1	1	8	-1
2	1	20	13	2	2	11	1
7	3	12	13	3	3	13	-1
1	3	11	12	2	2	10	1
0	1	14	17	11	11	16	1
0	1	20	13	13	11	13	-1
4	1	17	17	2	3	14	1
10	1	16	12	1	1	11	-1
3	3	13	12	3	11	7	1
5	1	16	12	2	2	14	-1
0	3	16	16	1	13	11	-1
9	1	13	12	11	11	13	1
9	3	13	13	1	1	8	1
11	1	12	12	1	9	10	1
7	3	12	16	3	3	13	1
3	3	12	13	2	2	12	1
19	3	11	12	12	3	3	-1
2	2	16	16	2	11	13	1
1	3	14	10	3	3	12	1
1	3	16	16	5	3	17	-1
1	3	12	16	8	2	13	1
1	2	13	13	3	2	16	1
7	1	17	16	2	2	9	1
3	3	12	12	9	1	2	-1
6	1	17	16	11	3	13	1
1	1	16	12	3	8	15	1
15	3	16	16	3	2	16	1
6	1	12	11	3	11	11	1
3	1	9	14	3	3	6	1
11	3	12	12	3	1	4	-1
4	1	17	17	2	3	16	1
8	1	20	16	13	8	8	1
5	2	12	17	2	3	16	1
30	1	16	17	2	3	13	-1
15	1	14	14	2	2	13	-1
17	1	12	12	2	13	8	-1
1	1	16	17	2	2	15	1
0	3	17	20	2	2	8	-1
20	1	20	20	10	2	17	1
20	3	16	17	5	2	19	1
4	2	16	16	2	2	11	1
10	1	13	14	11	11	15	1
7	1	10	12	13	13	10	1
1	3	12	12	3	3	10	1
2	1	11	11	13	3	10	1
1	1	17	13	1	4	13	1
1	1	16	16	1	11	12	1
2	1	13	12	3	11	11	1
5	1	16	12	1	3	15	1
2	1	14	14	2	3	15	1
2	1	12	12	2	2	12	1
0	3	10	11	1	1	13	1
4	2	13	16	2	13	12	1
2	1	12	12	11	3	12	1
6	2	12	12	1	1	10	1
3	1	16	17	9	11	14	1
2	3	12	13	3	2	8	1
2	3	12	12	10	2	13	1
1	3	12	12	3	2	13	1
8	2	13	16	2	2	9	1
0	3	12	13	3	2	15	1
0	1	12	12	2	2	16	1
2	1	12	12	11	1	13	1
17	1	12	12	2	2	14	1
8	3	17	16	3	5	17	1
10	3	12	13	3	3	13	1
1	1	11	13	3	13	12	1
0	3	16	17	13	13	11	1
4	1	12	13	2	2	12	1
6	3	11	12	1	1	9	1
3	1	16	14	3	3	10	1
21	2	17	20	13	5	16	1
4	3	12	16	3	3	17	-1
1	2	16	16	2	3	17	1
7	3	10	12	11	11	19	1
0	1	14	12	11	11	2	-1
1	1	17	16	3	3	16	1
6	1	16	16	2	2	17	1
13	1	17	17	2	2	17	1
2	3	12	13	3	1	15	1
2	1	20	17	5	3	19	1
1	1	16	13	1	1	13	1
5	3	12	12	1	1	5	-1
10	2	12	12	2	2	5	1
2	3	12	20	11	11	17	1
4	3	12	14	3	2	14	1
12	3	12	12	1	1	13	1
2	1	12	12	3	3	13	1
3	3	12	12	1	1	3	-1
2	3	12	14	3	3	11	1
4	2	17	16	3	3	16	1
12	3	13	12	3	3	7	-1
3	3	16	13	1	1	13	1
11	3	16	16	3	3	16	-1
3	1	12	12	2	3	16	1
2	1	13	12	1	3	9	-1
0	1	17	16	2	1	12	1
1	3	20	16	2	2	11	1
5	2	13	17	3	3	15	1
4	3	10	13	13	13	3	-1
1	3	13	13	3	3	11	1
7	1	13	16	3	3	14	-1
1	2	17	13	2	2	15	1
4	1	13	16	2	2	16	1
2	2	11	12	1	1	7	1
1	1	17	12	3	3	17	1
3	3	14	14	2	2	15	1
4	1	12	12	1	2	9	1
3	3	16	20	2	3	12	-1
3	1	17	17	2	3	16	1
11	2	16	9	3	11	14	-1
5	3	12	12	3	3	9	1
1	1	13	13	13	13	19	1
1	3	7.5	12	3	2	7	1
