PAPGLB_FRIEND	PAPRELIGION	PARTNER_RACE	PPMARIT	PPPARTYID3	PPREG9	PPRENT	Q12	Q29	Q7B	RESPONDENT_RACE	PAPGLB_STATUS	AGE_DIFFERENCE	CHILDREN_IN_HH	DISTANCEMOVED_10MI	GENDER_ATTRACTION	HHINC	HOW_LONG_AGO_FIRST_COHAB	HOW_LONG_AGO_FIRST_MET	HOW_LONG_AGO_FIRST_ROMANTIC	HOW_LONG_RELATIONSHIP	PARTNER_MOM_YRSED	PARTNER_YRSED	PPAGECAT	PPHOUSE	PPHOUSEHOLDSIZE	Q21A	Q21B	Q21C	Q9	RELATIONSHIP_QUALITY	RESPONDENT_MOM_YRSED	RESPONDENT_YRSED	ZPFORBORN_CAT	ZPNHBLACK_CAT	ZPNHWHITE_CAT	CORESIDENT	GLBSTATUS	MARRIED	MET_THROUGH_AS_COWORKERS	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_FAMILY	MET_THROUGH_FRIENDS	PPHHHEAD	PPMSACAT	PPNET	Q24_MET_ONLINE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q32_INTERNET	SAME_SEX_COUPLE	US_RAISED	ZPRURAL_CAT	PARENTAL_APPROVAL	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	EITHER_INTERNET_ADJUSTED	PAPEVANGELICAL	Q13A	Q25	Q26	Q27	Q28	Q7A	Q8A	SUCCESS
4	11	1	1	1	5	1	4	4	12	1	2	3	2	0	1	37250	34	36	34	34	7.5	9	5	1	4	23	25	25	56	5	11	7.5	0	2	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	nan	0	0	0	0	0	0	1	0	0	1	0	nan	0	1	0	1	1
3	3	1	5	3	4	2	3	3	2	1	2	2	0	1260	1	45000	4	7	6	6	13	13	1	1	1	17	18	20	26	5	14	14	0	0	3	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1
1	1	6	3	1	5	1	1	3	1	1	2	7	0	1150	1	22250	nan	4	4	4	12	12	4	4	3	45	45	nan	42	5	7.5	12	1	2	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	nan	1	1	0	0	-1
1	3	6	6	1	5	2	1	1	3	6	2	1	0	10	1	2500	2	7	7	7	16	16	1	1	3	17	17	22	23	3	12	13	3	3	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	-1
3	2	1	6	3	4	1	2	3	2	1	1	5	0	0	5	92250	26	26	26	26	12	12	4	1	2	24	24	24	55	5	12	12	0	0	3	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	nan	1	1	1	0	1
1	2	1	5	1	3	2	3	4	2	1	2	0	0	300	1	2500	4	7	5	5	12	12	4	3	1	41	43	44	48	5	12	11	1	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	nan	0	1	0	0	0	0	0	0	1	0	0	nan	0	1	0	1	-1
3	1	1	5	3	2	2	5	4	3	2	1	12	0	20	5	45000	0	2	1	.75	13	16	3	3	1	34	35	36	24	4	14	16	3	3	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	nan	0	1	0	0	0	0	0	0	nan	0	1	1	1	1	1	0	-1
3	1	2	6	3	3	2	2	3	13	2	2	0	0	0	2	55000	2	9	9	9	12	12	2	3	4	17	17	24	26	3	11	13	2	3	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	nan	0	1	1	0	-1
4	3	1	1	3	7	1	1	3	3	1	2	3	2	50	1	200000	32	35	32	32	12	12	4	1	4	14	17	17	52	5	12	12	1	2	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	nan	1	0	1	0	1
2	1	1	1	2	7	1	5	1	13	1	2	0	1	80	1	45000	23	25	24	24	12	12	3	4	5	16	17	18	41	4	12	11	3	3	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	nan	0	1	1	0	1
3	2	1	6	3	5	1	2	1	13	1	1	1	0	30	5	67250	13	15	15	15	12	13	3	3	2	21	21	23	35	5	13	16	3	2	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1
3	9	6	1	1	5	1	3	3	11	6	2	2	3	1690	1	37250	19	23	23	23	9	16	4	1	6	22	22	26	47	5	5.5	16	2	2	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	1
3	2	6	1	1	2	1	2	3	11	1	2	3	0	0	1	22250	5	24	23	23	17	10	4	3	2	27	28	46	48	5	16	16	3	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	nan	0	1	0	1	1
3	2	1	6	3	3	1	2	4	2	1	2	0	0	20	1	22250	11	11	11	11	12	12	4	1	2	40	40	40	51	5	12	12	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	nan	1	0	0	0	0	0	0	0	0	0	1	nan	1	1	1	0	1
3	2	1	1	1	3	1	3	1	2	1	2	4	3	690	1	55000	12	12	12	12	16	16	3	1	5	23	23	23	39	5	16	16	0	0	3	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1
3	11	1	1	1	8	1	1	1	1	1	2	1	2	210	1	112250	10	23	12	12	12	17	2	1	5	8	19	21	30	5	13	13	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	11	1	1	3	2	2	2	1	1	6	2	6	0	1610	1	37250	1	1	1	4	13	16	3	1	2	35	35	35	30	5	13	14	3	2	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1
3	11	1	3	3	9	1	4	1	13	1	2	5	0	0	1	45000	nan	2	0	.44999998808	11	16	3	1	1	40	42	nan	47	5	12	12	3	2	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	nan	1	1	1	1	1
4	1	1	1	3	5	1	2	4	1	1	2	1	0	0	1	27250	51	54	54	54	5.5	10	6	1	2	16	16	19	69	5	9	12	2	3	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	nan	1	0	0	0	0	0	0	0	0	0	0	nan	0	1	0	0	1
4	3	6	1	3	7	1	2	1	3	6	2	1	0	290	1	112250	18	19	19	19	5.5	12	3	1	3	22	22	23	40	5	16	14	2	2	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	nan	1	0	1	0	1
3	13	1	1	3	3	1	5	1	13	1	2	3	1	20	1	55000	3	12	12	12	12	12	3	1	4	29	29	38	38	4	11	16	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	nan	1	1	1	0	1
1	3	1	6	1	3	1	2	4	1	1	2	4	0	520	1	45000	7	15	9	9	12	13	6	1	2	51	57	59	70	4	13	12	0	0	3	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	nan	0	1	0	0	0	0	0	0	1	1	1	nan	1	1	0	1	1
1	1	1	1	3	3	1	5	3	2	1	2	1	2	20	1	27250	11	11	11	11	12	12	3	1	4	24	24	24	36	5	14	14	0	0	3	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	nan	1	1	1	0	1
1	12	1	1	1	5	1	5	1	13	6	2	1	0	0	1	112250	10	17	16	16	14	16	2	1	3	14	15	21	30	5	14	13	3	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1
1	13	1	6	3	3	1	2	1	13	1	2	3	0	1810	1	55000	8	10	9	9	12	12	2	1	3	19	20	21	26	5	13	12	1	1	2	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	nan	1	1	1	1	1
4	2	1	3	3	9	1	5	4	2	1	2	2	1	0	1	22250	nan	49	48	48	12	13	6	1	2	16	17	nan	67	4	13	12	3	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	nan	0	0	0	0	0	0	1	0	1	1	1	nan	0	1	1	0	-1
1	13	1	1	1	2	1	5	4	13	1	2	7	0	0	1	162250	14	19	19	19	12	17	5	1	2	39	39	44	65	4	12	12	1	2	3	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	nan	0	1	0	0	0	0	0	0	1	1	1	nan	1	1	1	1	1
1	2	1	5	3	9	2	2	1	3	4	1	4	0	1970	5	2500	nan	2	1	1.5	16	16	2	3	1	23	24	nan	29	4	12	17	3	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	-1
1	11	6	1	2	8	1	3	3	3	6	2	15	1	60	1	200000	0	1	1	.75	0	12	3	1	3	36	36	37	22	2	0	12	3	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	nan	0	1	1	1	-1
3	12	5	5	3	9	2	2	1	6	1	2	0	0	1750	1	67250	nan	1	1	.75	12	13	2	3	3	24	24	nan	25	5	10	16	3	2	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1
3	3	1	1	3	2	1	3	3	3	1	2	4	2	0	2	92250	13	15	15	15	12	12	3	1	4	28	28	30	47	5	12	12	2	1	2	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	nan	1	1	1	0	1
3	13	1	3	3	3	1	5	4	13	1	2	1	0	0	1	45000	26	26	26	26	12	12	4	1	2	26	26	26	51	5	7.5	7.5	0	2	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	nan	0	0	0	0	0	0	1	0	1	0	0	nan	0	1	1	0	1
