PPGENDER	PPAGE	PPINCIMP	HOW_LONG_AGO_FIRST_ROMANTIC	SAME_SEX_COUPLE	Q23	Q19	PPEDUC	Q18A_3	MET_THROUGH_FRIENDS	MET_THROUGH_FAMILY	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_AS_COWORKERS	Q24_CHURCH	Q24_SCHOOL	Q24_COLLEGE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q31_9	Q31_OTHER_TEXT_ENTERED	SUCCESS
2	29	10	9	0	2	2	12	1	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	0	-1
1	50	14	27	0	1	1	14	nan	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1	31	13	4	1	1	1	13	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1
1	64	16	30	1	3	1	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
2	23	16	5	0	3	1	10	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	27	13	5	0	3	1	12	nan	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1
1	47	15	11	1	1	2	10	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	27	12	7	0	1	1	10	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	40	14	14	0	3	1	12	nan	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	37	5	8	0	1	1	9	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	45	17	21	0	3	1	9	nan	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
2	51	12	7	0	3	2	12	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1
1	34	9	6	0	2	2	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
2	23	19	6	0	3	1	11	nan	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
1	44	18	3	0	3	1	9	nan	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
1	26	18	1	0	3	1	12	nan	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2	52	13	36	0	3	1	12	nan	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2	27	12	2	0	1	2	10	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1
1	46	14	0	0	1	2	11	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
2	73	12	18	1	3	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	51	15	31	0	3	1	9	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	54	11	17	0	3	2	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1
1	61	14	41	0	1	1	10	nan	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1
1	24	15	0	0	1	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	41	19	8	0	2	1	13	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
2	56	7	35	0	3	1	10	nan	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	48	12	8	1	3	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	42	13	11	0	3	1	10	nan	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2	26	16	8	0	3	1	11	nan	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
1	71	8	51	0	2	2	9	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	19	7	0	0	2	2	9	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
1	38	16	10	0	1	1	12	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	24	2	5	0	3	1	10	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1
2	64	12	21	1	3	1	10	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	39	12	3	0	2	1	11	nan	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	29	16	13	0	3	1	12	nan	nan	nan	nan	nan	nan	nan	nan	0	1	0	0	0	0	0	0	0	0	1
1	67	8	49	0	1	1	9	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	38	17	14	1	1	1	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1
1	46	17	22	0	1	1	9	nan	nan	nan	nan	nan	nan	nan	nan	1	0	0	0	0	0	0	0	0	0	1
1	41	8	17	1	3	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	40	5	1	0	3	2	12	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
1	51	18	11	0	3	1	11	nan	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
1	41	15	22	0	1	1	12	nan	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	21	12	2	0	2	2	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	54	5	36	0	3	2	9	nan	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1
1	34	10	11	0	1	1	9	nan	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
2	48	15	17	1	1	1	10	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	26	6	7	0	3	1	13	nan	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
1	63	15	36	0	2	1	13	nan	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1
1	56	11	2	1	1	2	11	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
2	56	14	39	0	3	1	9	nan	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1	42	13	20	0	1	1	9	nan	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	54	13	35	0	3	1	9	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	34	16	13	0	2	2	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
2	57	16	40	0	3	1	9	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	50	6	0	0	3	2	8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
1	59	12	32	0	3	1	9	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
2	36	5	2	0	3	2	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
2	42	15	0	1	1	2	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	41	12	11	0	1	1	12	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1	22	11	1	0	1	2	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	28	14	5	0	1	1	12	nan	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1
1	42	7	22	0	1	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	51	12	30	1	2	1	10	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1
2	38	19	5	1	1	1	14	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1
2	66	18	16	0	1	1	9	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
2	27	12	8	0	3	1	12	nan	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
1	44	16	20	0	3	1	9	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	19	5	1	0	3	2	7	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-1
