PAPGLB_FRIEND	PAPRELIGION	PARTNER_RACE	PPMARIT	PPPARTYID3	PPREG9	PPRENT	Q12	Q29	Q7B	RESPONDENT_RACE	PAPGLB_STATUS	AGE_DIFFERENCE	CHILDREN_IN_HH	DISTANCEMOVED_10MI	GENDER_ATTRACTION	HHINC	HOW_LONG_AGO_FIRST_COHAB	HOW_LONG_AGO_FIRST_MET	HOW_LONG_AGO_FIRST_ROMANTIC	HOW_LONG_RELATIONSHIP	PARTNER_MOM_YRSED	PARTNER_YRSED	PPAGECAT	PPHOUSE	PPHOUSEHOLDSIZE	Q21A	Q21B	Q21C	Q9	RELATIONSHIP_QUALITY	RESPONDENT_MOM_YRSED	RESPONDENT_YRSED	ZPFORBORN_CAT	ZPNHBLACK_CAT	ZPNHWHITE_CAT	CORESIDENT	GLBSTATUS	MARRIED	MET_THROUGH_AS_COWORKERS	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_FAMILY	MET_THROUGH_FRIENDS	PPHHHEAD	PPMSACAT	PPNET	Q24_MET_ONLINE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q32_INTERNET	SAME_SEX_COUPLE	US_RAISED	ZPRURAL_CAT	PARENTAL_APPROVAL	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	EITHER_INTERNET_ADJUSTED	PAPEVANGELICAL	Q13A	Q25	Q26	Q27	Q28	Q7A	Q8A
4	9	1	1	1	5	1	1	4	9	1	2	4	0	1140	1	17250	28	28	28	28	12	12	4	4	2	26	26	26	58	4	12	12	3	2	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	nan	0	0	0	0	0	1	0	0	0	1	1	nan	1	1	0	1
1	3	1	1	3	9	1	2	1	2	6	2	4	3	360	1	137250	7	8	8	8	13	17	3	1	5	35	35	36	47	5	5.5	17	3	3	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0
3	3	6	5	1	7	2	3	3	11	6	3	6	0	1100	2	17250	0	0	0	.44999998808	2.5	5.5	2	1	5	31	31	31	25	3	5.5	13	1	2	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	nan	1	0	1	1
3	2	1	1	1	9	1	1	1	2	1	2	5	1	10	1	112250	11	12	12	12	13	16	2	1	4	22	22	23	39	5	14	16	2	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
1	13	1	1	3	9	1	2	3	13	6	2	2	0	0	1	67250	41	43	43	43	12	12	5	1	2	16	16	18	61	5	12	12	3	3	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	nan	1	1	1	1
1	3	nan	5	1	1	1	nan	nan	nan	1	2	nan	0	nan	nan	8750	nan	nan	nan	nan	nan	nan	7	1	1	nan	nan	nan	nan	nan	nan	14	2	0	3	nan	0	0	nan	nan	nan	nan	1	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
2	1	1	1	1	7	2	3	3	1	1	2	1	1	320	1	22250	11	11	11	11	12	16	2	3	3	18	18	18	30	5	12	16	3	2	1	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1
4	2	1	1	1	2	1	1	1	9	1	2	3	2	0	1	37250	13	19	15	15	12	12	3	1	5	17	21	23	33	5	12	12	1	0	3	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	nan	1	1	0	0
3	2	1	1	3	9	1	5	4	11	6	2	12	0	540	1	67250	16	16	16	16	11	12	5	1	2	40	40	40	44	4	12	12	0	0	2	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	nan	0	1	0	0	0	0	0	0	1	0	1	nan	1	1	1	0
1	3	nan	5	3	3	2	nan	nan	nan	1	1	nan	0	nan	nan	37250	nan	nan	nan	nan	nan	nan	5	3	1	nan	nan	nan	nan	nan	nan	13	2	2	1	nan	1	0	nan	nan	nan	nan	1	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
