Q9	PPAGE	PPGENDER	pp4_ppwork	PP2_RESPONDENT_YRSED	PARTNER_YRSED	PARENTAL_APPROVAL	PPINCIMP	Q7B	PAPRELIGION	success
24	21	2	1	12	16	1	14	13	13	1
38	29	2	1	16	16	1	11	5	3	1
27	30	1	1	14	13	0	17	13	2	1
38	51	2	1	16	16	1	12	13	2	-1
39	39	1	1	14	13	1	13	13	11	1
44	38	2	1	14	20	0	14	2	12	1
30	35	1	2	12	12	1	12	2	2	1
50	28	2	1	13	17	0	14	4	12	-1
39	40	1	1	16	17	1	17	2	2	-1
47	47	2	7	16	16	0	11	11	2	1
42	29	2	1	16	12	1	13	1	1	-1
32	33	2	2	13	13	1	13	3	13	1
19	20	2	4	13	13	0	12	2	11	-1
28	26	2	4	11	13	1	11	11	11	1
24	23	2	1	16	12	1	1	11	3	-1
44	48	1	1	12	12	1	14	13	11	1
40	40	1	1	16	16	1	11	2	1	1
26	21	2	7	13	13	0	18	13	3	-1
45	45	1	6	10	12	0	12	11	2	1
71	40	2	1	13	13	1	14	3	3	1
60	58	1	1	17	12	1	9	13	13	1
64	48	2	1	14	12	1	16	3	3	1
22	21	2	1	13	14	1	8	2	2	1
34	38	1	1	12	17	0	13	2	1	-1
41	38	2	4	7.5	12	1	10	9	9	1
27	28	2	1	16	16	1	14	2	2	1
37	39	1	1	16	12	1	13	3	3	1
28	27	2	1	17	16	0	19	3	2	-1
21	38	1	1	14	13	1	9	11	1	1
58	59	2	1	12	13	0	13	13	13	1
40	34	1	1	12	12	1	16	9	3	-1
49	53	1	1	13	13	1	16	3	2	1
52	57	1	5	12	12	1	13	3	2	1
36	40	2	1	16	13	0	10	2	1	-1
55	52	2	1	12	11	1	7	13	1	1
19	22	1	1	12	12	1	12	11	13	1
26	32	1	1	13	13	1	7	4	11	-1
30	35	1	1	16	13	1	13	2	11	1
32	29	2	1	17	17	1	16	2	5	1
29	25	2	1	14	13	1	15	3	11	-1
45	45	2	4	17	16	1	17	2	11	1
54	56	1	6	13	10	0	4	3	3	1
26	25	2	1	16	16	1	13	11	3	1
52	53	1	6	12	12	0	5	3	3	-1
38	41	1	1	12	13	1	15	11	3	1
23	21	2	7	13	13	1	12	1	1	-1
54	43	1	1	17	13	1	17	3	3	1
44	50	1	1	16	16	0	15	3	2	-1
46	35	2	6	10	12	0	11	1	2	1
39	39	1	7	17	17	1	13	2	2	1
52	46	1	7	16	13	1	17	11	13	1
49	50	1	4	12	13	1	11	1	2	1
47	48	1	1	16	13	1	16	2	2	1
37	37	2	1	12	12	1	14	13	13	1
24	22	2	7	16	16	0	16	2	2	1
19	22	1	1	13	13	1	16	1	11	1
25	26	1	1	16	13	1	15	3	2	-1
25	19	1	1	14	16	1	17	2	2	-1
30	36	2	7	17	17	1	15	13	2	1
43	41	1	2	13	13	1	11	11	11	-1
36	27	2	1	13	12	1	7	13	2	1
39	39	2	1	17	17	1	16	2	2	1
45	49	1	1	13	13	1	13	13	11	1
31	33	1	1	16	17	1	16	2	3	1
28	20	2	1	14	13	0	16	13	13	-1
69	67	2	5	16	17	1	18	2	2	1
36	25	2	1	16	16	0	12	8	13	1
24	22	1	1	17	14	1	11	1	3	-1
36	32	2	1	17	13	0	15	3	13	1
99	30	1	1	13	13	1	13	12	12	1
37	42	1	1	20	17	1	16	2	2	1
43	44	1	1	17	20	1	16	5	2	1
42	43	1	1	12	12	1	13	11	1	1
36	31	2	1	16	13	0	13	3	13	1
55	54	1	5	13	12	1	15	2	3	1
20	20	2	7	11	10	1	11	3	13	-1
30	35	1	1	16	17	1	15	13	2	1
28	28	1	1	16	16	1	16	4	4	1
70	56	2	1	17	17	0	18	13	13	1
57	56	2	1	12	14	1	11	1	1	1
28	28	2	7	16	16	1	10	1	1	1
64	50	2	2	13	13	0	13	3	3	1
41	29	2	6	12	12	0	10	13	3	1
49	45	1	2	13	12	1	13	1	13	1
30	39	1	1	20	17	1	11	13	13	1
25	20	2	7	17	16	1	15	6	6	1
38	35	1	1	16	14	1	16	11	13	-1
35	37	1	1	17	16	0	12	13	3	1
38	35	2	7	16	16	1	15	4	4	1
30	29	1	1	14	16	1	11	11	11	1
31	35	1	1	13	14	1	13	9	2	1
37	40	1	1	13	12	0	10	3	13	-1
